HHFAMINC_IMP,HOMETYPE,URBRUR_2010,CDIVMSAR,CENSUS_R,DRVRCNT,HHSIZE,HHVEHCNT,HH_HISP,HH_RACE,HOMEOWN,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,WRKCOUNT,ANNMILES_mean_nonnegative,COMMERCIALFREQ_mean_nonnegative,VEHAGE_mean,EDUC_amin,FRSTHM_amin,OUTOFTWN_amin,EDUC_amax,DELIVER_sum_nonnegative,DELIV_FOOD_sum_nonnegative,DELIV_GOOD_sum_nonnegative,DELIV_GROC_sum_nonnegative,DELIV_PERS_sum_nonnegative,EMPLOYMENT2_mean_nonnegative,ESCOOTERUSED_mean_nonnegative,GCDWORK_mean_nonnegative,MCTRANSIT_mean_nonnegative,MEDCOND6_mean_nonnegative,PTUSED_mean_nonnegative,RIDESHARE22_mean_nonnegative,R_AGE_mean_nonnegative,TAXISERVICE_mean_nonnegative,WALKTRANSIT_mean_nonnegative,WKFMHM22_mean_nonnegative,CONDNIGH_min_nonnegative,CONDNONE_min_nonnegative,CONDPUB_min_nonnegative,CONDRF_min_nonnegative,CONDRIDE_min_nonnegative,CONDRIVE_min_nonnegative,CONDSHARE_min_nonnegative,CONDSPEC_min_nonnegative,CONDTRAV_min_nonnegative,COV1_OHD_min_nonnegative,COV1_PT_min_nonnegative,COV1_SCH_min_nonnegative,COV1_WK_min_nonnegative,COV2_OHD_min_nonnegative,COV2_PT_min_nonnegative,COV2_SCH_min_nonnegative,COV2_WK_min_nonnegative,DRIVER_min_nonnegative,DRIVINGOCCUPATION_min_nonnegative,EMPPASS_min_nonnegative,LAST30_BIKE_min_nonnegative,LAST30_BKSHR_min_nonnegative,LAST30_ESCT_min_nonnegative,LAST30_MTRC_min_nonnegative,LAST30_PT_min_nonnegative,LAST30_RDSHR_min_nonnegative,LAST30_TAXI_min_nonnegative,LAST30_WALK_min_nonnegative,MEDCOND_min_nonnegative,PARK_min_nonnegative,PAYPROF_min_nonnegative,QACSLAN1_min_nonnegative,QACSLAN3_min_nonnegative,R_HISP_min_nonnegative,R_RELAT_min_nonnegative,TRNPASS_min_nonnegative,USAGE1_min_nonnegative,USAGE2_1_min_nonnegative,USAGE2_10_min_nonnegative,USAGE2_2_min_nonnegative,USAGE2_3_min_nonnegative,USAGE2_4_min_nonnegative,USAGE2_5_min_nonnegative,USAGE2_6_min_nonnegative,USAGE2_7_min_nonnegative,USAGE2_8_min_nonnegative,USAGE2_9_min_nonnegative,USEPUBTR_min_nonnegative,W_CANE_min_nonnegative,W_CHAIR_min_nonnegative,W_NONE_min_nonnegative,W_SCCH_min_nonnegative,W_VISIMP_min_nonnegative,W_WKCR_min_nonnegative,DRIVINGVEHICLE_-1_PROP,DRIVINGVEHICLE_1_PROP,DRIVINGVEHICLE_2_PROP,DRIVINGVEHICLE_3_PROP,PRMACT_-1_PROP,PRMACT_1_PROP,PRMACT_2_PROP,PRMACT_3_PROP,PRMACT_4_PROP,PRMACT_5_PROP,PRMACT_97_PROP,R_RACE_IMP_1_PROP,R_RACE_IMP_2_PROP,R_RACE_IMP_3_PROP,R_RACE_IMP_4_PROP,R_RACE_IMP_5_PROP,R_RACE_IMP_6_PROP,R_RACE_IMP_97_PROP,R_SEX_IMP_1_PROP,R_SEX_IMP_2_PROP,WORKER_1_PROP,WORKER_2_PROP,WRKLOC_-1_PROP,WRKLOC_1_PROP,WRKLOC_2_PROP,WRKLOC_3_PROP,WRKLOC_4_PROP,RETIRE,SINGLE
10,1,1,11,1,2,2,2,2,1,2,1,4,1,1,4,1,0,7250.0,0.0,4.0,6,1,2,6,15,0,16,0,4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,66.5,0.0,5.0,0.0,2,2,2,2,1,2,2,2,1,2,2,0,0,0,0,0,0,1,0,0,2,0,2,2,2,2,2,1,1,0,2,2,0,2,1,0,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False
6,1,2,13,1,2,2,3,2,1,2,3,3,2,4,6,2,1,6666.666666666667,0.0,6.333333333333333,3,1,2,3,12,0,14,0,0,6.0,0.0,3.80238034591845,0.0,0.0,0.0,0.0,61.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,4,0,2,2,0,0,0,1,1,0,2,0,2,2,2,2,2,2,2,2,1,2,0,2,1,0,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,True,False
7,1,1,11,1,2,2,2,2,3,2,1,5,1,4,6,2,0,12000.0,0.0,4.5,7,1,2,7,6,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,0,0,2,0,2,2,2,2,2,1,2,0,2,1,1,2,1,0,1,2,1,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False
6,1,1,11,1,1,1,1,2,1,2,1,4,1,1,4,1,1,5000.0,0.0,6.0,5,1,2,5,1,0,0,0,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,1,3,0,4,3,3,0,0,1,2,0,2,0,2,2,2,2,2,1,2,2,1,2,0,2,7,0,1,2,1,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,False,True
6,1,2,13,1,2,2,2,2,1,1,3,2,2,4,6,2,0,9000.0,0.0,2.0,5,1,2,6,2,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,0.0,7.5,0.0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,1,0,0,1,2,2,2,2,2,2,1,2,0,2,2,0,2,1,0,1,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False
9,1,1,11,1,1,1,1,2,1,1,1,5,1,1,4,1,1,8727.0,0.0,8.0,6,1,2,6,14,0,14,0,0,65.0,0.0,2.9041347284696,0.0,0.0,0.0,0.0,59.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,1,1,0,2,0,2,2,2,2,2,2,2,0,1,2,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,False,True
11,1,1,13,1,1,1,1,2,1,1,3,1,2,2,6,1,1,20000.0,0.0,5.0,8,1,2,8,15,0,15,0,0,40.0,0.0,0.87192681659652,0.0,0.0,0.0,0.0,55.0,0.0,30.0,2.0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,0,0,2,1,2,0,2,0,2,2,2,2,2,1,2,2,1,2,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,True
4,3,2,13,1,1,1,1,2,1,3,3,1,2,4,6,2,0,3000.0,0.0,9.0,6,1,2,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,0,2,2,0,2,7,0,1,2,2,2,2,2,2,2,1,1,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
6,1,1,13,1,2,2,2,2,1,2,3,1,2,1,3,1,0,10000.0,0.0,7.5,6,1,2,7,12,0,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0,2,0,2,2,2,2,2,2,2,0,2,2,0,2,1,0,1,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False
3,1,2,14,1,1,1,2,2,1,1,4,6,2,4,6,2,0,8000.0,0.0,17.5,6,1,2,6,25,0,24,1,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,61.0,0.0,1.0,0.0,1,2,2,2,1,2,2,2,1,2,2,0,0,0,0,0,0,1,0,0,2,0,2,2,2,2,2,1,1,0,2,2,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True
7,1,2,14,1,2,2,2,2,1,2,4,6,2,4,6,2,1,14409.0,0.0,6.0,6,1,2,7,9,0,9,0,0,40.0,0.0,2.51506696169979,0.0,0.0,0.0,0.0,68.5,0.0,4.5,1.0,0,0,0,0,0,0,0,0,0,1,4,0,2,2,0,0,0,1,2,0,2,0,2,2,2,2,2,1,2,2,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,True,False
6,1,2,13,1,2,2,2,2,1,1,3,1,2,4,6,2,1,7000.0,0.0,7.5,4,1,2,6,6,0,5,0,0,40.0,0.0,0.975308767256283,0.0,0.0,0.0,0.0,63.5,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,3,0,3,2,2,0,1,1,2,0,2,0,2,2,2,2,2,2,2,2,1,2,0,2,1,0,1,2,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,True,False
2,1,1,22,1,1,1,1,2,1,2,2,4,2,1,3,1,0,4200.0,0.0,9.0,6,1,2,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,1,0,0,2,0,2,2,2,2,2,1,2,2,2,2,0,2,7,0,1,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
7,1,1,21,1,2,2,2,2,1,1,1,5,1,1,4,1,0,7000.0,0.0,7.0,3,1,2,7,10,6,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,1,0,0,2,0,2,2,2,2,2,1,2,2,2,2,0,2,1,0,1,1,1,1,2,1,2,2,2,2,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False
11,1,1,22,1,2,3,2,2,1,1,2,4,2,1,5,1,2,13500.0,0.0,2.5,5,1,2,8,17,0,17,0,0,40.0,0.0,21.822742784404852,0.0,2.0,0.0,0.0,67.0,0.0,2.0,1.0,2,2,2,2,1,1,2,2,1,1,2,0,2,2,0,0,0,1,2,0,2,0,2,2,2,2,2,1,1,1,1,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,2,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,True,False
6,2,1,22,1,2,2,2,2,1,3,2,4,2,1,5,1,1,6150.0,0.0,10.5,3,1,2,3,7,0,7,0,0,40.0,0.0,8.68793278052943,0.0,0.0,0.0,0.0,61.5,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,4,0,2,3,0,0,0,1,2,0,2,0,2,2,2,2,2,2,2,2,1,2,0,2,1,0,1,1,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,False,False
6,1,1,22,1,1,1,1,2,1,1,2,4,2,1,3,1,1,2500.0,0.0,15.0,4,1,2,4,2,1,1,0,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,2.0,4.0,0,0,0,0,0,0,0,0,0,1,4,0,3,2,0,0,2,1,2,0,2,0,2,2,2,2,2,1,2,0,1,2,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,False,True
7,1,1,21,1,2,2,2,2,1,2,1,5,1,1,4,1,1,5500.0,0.0,6.0,3,1,2,4,20,0,20,0,0,28.0,0.0,0.0,0.0,0.0,1.5,0.0,67.5,0.0,7.5,4.0,0,0,0,0,0,0,0,0,0,1,3,0,3,2,1,0,2,1,2,0,1,2,2,2,1,2,2,1,2,0,1,2,0,2,1,1,1,1,1,2,1,2,2,2,1,1,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,True,False
2,1,1,23,1,0,1,0,1,97,3,3,1,2,4,6,2,0,0.0,0.0,0.0,5,1,2,5,2,0,3,0,0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,62.0,0.0,2.0,0.0,2,2,1,2,1,2,2,1,1,2,3,0,0,0,1,0,0,2,0,0,2,0,2,2,1,2,2,1,1,0,2,1,1,1,7,1,1,2,2,2,2,1,2,1,1,2,2,2,1,2,1,2,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True
7,1,1,21,1,2,2,2,2,1,1,1,5,1,1,4,1,0,4250.0,0.0,4.5,3,1,2,6,20,0,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,0,2,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False
6,1,1,21,1,2,3,2,1,1,2,1,5,1,1,4,1,2,104000.0,10.0,13.5,4,1,2,8,5,0,2,0,0,14.0,0.0,7.46033509142125,0.0,0.0,10.0,0.0,67.33333333333333,2.0,12.0,3.0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,1,0,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1,2,0,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,True,False
10,1,1,23,1,2,2,3,2,1,1,3,3,2,1,2,1,2,10666.666666666666,0.0,9.333333333333334,3,1,2,5,15,0,15,0,0,44.0,0.0,16.78883041401801,0.0,0.0,0.0,0.0,57.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,1,2,0,2,0,2,2,2,2,2,1,2,2,1,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False
5,1,1,21,1,2,2,1,2,1,2,1,5,1,1,4,1,0,2000.0,0.0,9.0,3,1,2,3,6,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,1,1,4,0,0,1,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,0,2,2,0,2,1,0,1,2,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False
10,1,1,21,1,2,2,2,2,1,1,1,5,1,1,4,1,2,22500.0,0.0,6.5,7,1,2,7,2,0,2,0,0,35.0,0.0,21.4551299524066,0.0,0.0,0.0,0.0,58.5,0.0,0.0,1.5,0,0,0,0,0,0,0,0,0,1,3,0,2,2,1,0,1,1,2,0,2,0,2,2,2,2,2,2,2,1,1,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,False,False
8,1,1,22,1,2,2,1,2,1,2,2,4,2,1,3,1,1,3500.0,0.0,3.0,3,1,2,7,13,0,13,0,0,40.0,0.0,10.3774366949938,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1.0,1,2,2,2,2,2,2,2,1,1,4,0,2,2,0,0,0,1,2,0,2,0,2,2,2,2,2,2,0,0,1,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,True,False
4,1,1,23,1,2,2,2,2,1,2,3,1,2,1,1,1,0,2350.0,0.0,3.0,3,1,2,4,13,0,12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False
1,3,1,22,1,0,1,0,2,1,3,2,4,2,2,6,1,0,0.0,0.0,0.0,2,1,2,2,5,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,15.0,0.0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,2,0,0,2,0,2,2,2,2,2,1,0,2,2,2,0,2,7,0,1,1,1,2,2,2,2,1,2,2,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True
11,2,1,23,1,2,2,2,2,2,1,3,1,2,1,2,1,1,9504.5,0.0,6.0,4,1,2,7,10,0,10,0,0,40.0,0.0,13.3169239804853,0.0,2.0,0.0,0.0,63.5,0.0,0.0,2.0,2,2,2,2,2,2,2,2,1,1,4,0,2,2,0,0,0,1,2,0,2,0,2,2,2,2,2,2,1,0,1,2,0,2,1,0,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,False,False
3,1,1,21,1,1,1,1,2,1,2,1,5,1,1,4,1,0,3000.0,0.0,14.0,6,1,2,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,25.0,0.0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,2,0,2,2,2,2,2,1,2,0,2,2,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
3,3,1,23,1,1,1,1,2,1,3,3,1,2,1,2,1,0,6000.0,0.0,15.0,4,1,2,4,4,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,15.0,0.0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,2,0,2,2,2,2,2,1,2,2,2,2,0,2,7,0,1,2,1,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
3,3,1,21,1,0,1,0,2,2,3,1,5,1,1,4,1,1,0.0,0.0,0.0,4,1,2,4,15,2,3,0,10,45.0,0.0,2.97887229051582,0.0,0.0,15.0,30.0,56.0,10.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,3,0,2,3,3,0,0,2,2,0,2,0,2,2,1,1,1,2,2,2,1,2,0,2,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,False,True
2,1,1,23,1,1,1,1,2,1,2,3,3,2,1,2,1,0,5000.0,0.0,6.0,8,1,2,8,6,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,1,0,0,2,0,2,2,2,2,2,1,2,2,2,2,0,2,7,0,1,2,1,2,1,2,2,2,2,1,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True
8,3,1,21,1,0,1,0,2,3,2,1,5,1,1,4,1,1,0.0,0.0,0.0,6,1,2,6,10,0,10,0,0,40.0,0.0,6.08062914360991,0.0,0.0,20.0,10.0,62.0,0.0,10.0,3.0,0,0,0,0,0,0,0,0,0,3,3,0,3,1,2,0,3,2,2,0,2,0,2,2,1,1,2,1,2,2,1,1,2,2,7,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,False,True
